Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:22:56 PM  all   93.24    0.00    6.07    0.00    0.00    0.02    0.00    0.00    0.00    0.67
03:23:19 PM  all   37.27    0.00    2.83    0.00    0.00    0.02    0.00    0.00    0.00   59.88
03:23:26 PM  all   13.44    0.00    1.34    0.00    0.00    0.02    0.00    0.00    0.00   85.20
03:23:49 PM  all    0.10    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.72
03:23:56 PM  all    0.08    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.74
03:24:19 PM  all    0.11    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.73
03:24:26 PM  all    0.14    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.66
03:24:49 PM  all    0.10    0.00    0.20    0.00    0.00    0.01    0.00    0.00    0.00   99.69
03:24:56 PM  all    0.10    0.00    0.17    0.00    0.00    0.01    0.00    0.00    0.00   99.73
03:25:19 PM  all    1.63    0.00    0.42    0.01    0.00    0.00    0.00    0.00    0.00   97.94
03:25:26 PM  all    1.61    0.00    0.42    0.01    0.00    0.00    0.00    0.00    0.00   97.96
03:25:49 PM  all    0.09    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.71
03:25:56 PM  all    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
03:26:19 PM  all   41.11    0.00    2.85    0.00    0.00    0.00    0.00    0.00    0.00   56.04
03:26:26 PM  all   65.06    0.00    4.22    0.00    0.00    0.00    0.00    0.00    0.00   30.72
03:26:49 PM  all   90.08    0.00    8.45    0.00    0.00    0.04    0.00    0.00    0.00    1.42
03:26:56 PM  all   88.87    0.00    9.32    0.00    0.00    0.05    0.00    0.00    0.00    1.75
03:27:19 PM  all   89.94    0.00    8.43    0.00    0.00    0.06    0.00    0.00    0.00    1.57
03:27:26 PM  all   90.26    0.00    8.26    0.00    0.00    0.06    0.00    0.00    0.00    1.42
03:27:49 PM  all   86.38    0.00   11.26    0.00    0.00    0.08    0.00    0.00    0.00    2.29
03:27:56 PM  all   85.93    0.00   11.56    0.00    0.00    0.08    0.00    0.00    0.00    2.43
03:28:19 PM  all   91.59    0.00    7.16    0.00    0.00    0.05    0.00    0.00    0.00    1.21
03:28:26 PM  all   70.77    0.00    5.02    0.00    0.00    0.03    0.00    0.00    0.00   24.17
03:28:49 PM  all    1.88    0.00    0.36    0.00    0.00    0.01    0.00    0.00    0.00   97.75
03:28:56 PM  all    0.08    0.00    0.15    0.00    0.00    0.01    0.00    0.00    0.00   99.76
03:29:19 PM  all    0.12    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.74
Average:     all   48.41    0.00    4.23    0.00    0.00    0.03    0.00    0.00    0.00   47.32
03:29:26 PM  all    0.11    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.77
03:29:56 PM  all    0.09    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.74
03:30:26 PM  all    1.45    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.17
03:30:56 PM  all    0.31    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.36
03:31:26 PM  all    7.92    0.00    1.82    0.21    0.00    0.08    0.00    0.00    0.00   89.97
03:31:56 PM  all   93.56    0.00    5.76    0.00    0.00    0.00    0.00    0.00    0.00    0.68
03:32:26 PM  all   93.25    0.00    6.06    0.00    0.00    0.03    0.00    0.00    0.00    0.66
03:32:56 PM  all   93.11    0.00    6.27    0.00    0.00    0.02    0.00    0.00    0.00    0.60
03:33:26 PM  all   93.03    0.00    6.31    0.00    0.00    0.01    0.00    0.00    0.00    0.65
03:33:56 PM  all    1.67    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   97.91
03:34:26 PM  all    0.08    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.81
03:34:56 PM  all    0.32    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.52
03:35:26 PM  all    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.69
03:35:56 PM  all    1.46    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   98.27
Average:     all   39.01    0.00    3.19    0.01    0.00    0.02    0.00    0.00    0.00   57.77
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

03:52:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
